detention_facility_code,detention_facility_name,state,date,daily_pop,midnight_pop
PWILLVA,Prince William,VA,2025-10-01,0.0,0.0
PWILLVA,Prince William,VA,2025-10-02,0.0,0.0
PWILLVA,Prince William,VA,2025-10-03,0.0,0.0
PWILLVA,Prince William,VA,2025-10-04,0.0,0.0
PWILLVA,Prince William,VA,2025-10-05,0.0,0.0
PWILLVA,Prince William,VA,2025-10-06,0.0,0.0
PWILLVA,Prince William,VA,2025-10-07,0.0,0.0
PWILLVA,Prince William,VA,2025-10-08,0.0,0.0
PWILLVA,Prince William,VA,2025-10-09,0.0,0.0
PWILLVA,Prince William,VA,2025-10-10,0.0,0.0
PWILLVA,Prince William,VA,2025-10-11,0.0,0.0
PWILLVA,Prince William,VA,2025-10-12,0.0,0.0
PWILLVA,Prince William,VA,2025-10-13,0.0,0.0
PWILLVA,Prince William,VA,2025-10-14,1.0,0.0
PWILLVA,Prince William,VA,2025-10-15,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-01,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-02,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-03,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-04,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-05,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-06,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-07,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-08,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-09,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-10,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-11,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-12,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-13,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-14,0.0,0.0
BOPTRV,Three Rivers FCI,TX,2025-10-15,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-01,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-02,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-03,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-04,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-05,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-06,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-07,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-08,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-09,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-10,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-11,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-12,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-13,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-14,0.0,0.0
BWDGICA,Best Western Dragon Gate Inn,CA,2025-10-15,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-01,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-02,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-03,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-04,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-05,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-06,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-07,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-08,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-09,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-10,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-11,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-12,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-13,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-14,0.0,0.0
NFSMTGA,"Neighbor-Family, Stone Mountain",GA,2025-10-15,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-01,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-02,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-03,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-04,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-05,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-06,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-07,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-08,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-09,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-10,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-11,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-12,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-13,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-14,0.0,0.0
CHELAWA,Chelan Co. Regional Jail,WA,2025-10-15,0.0,0.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-01,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-02,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-03,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-04,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-05,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-06,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-07,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-08,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-09,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-10,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-11,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-12,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-13,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-14,1.0,1.0
MHNHHTX,Memorial Hermann NW Hosp,TX,2025-10-15,1.0,1.0
DENHOLD,Denver Hold Room,CO,2025-10-01,14.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-02,5.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-03,7.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-04,0.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-05,0.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-06,9.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-07,9.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-08,3.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-09,3.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-10,8.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-11,4.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-12,1.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-13,2.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-14,3.0,0.0
DENHOLD,Denver Hold Room,CO,2025-10-15,2.0,2.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-01,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-02,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-03,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-04,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-05,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-06,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-07,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-08,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-09,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-10,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-11,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-12,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-13,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-14,0.0,0.0
NATCHLA,Natchitoches Parish Det. Center,LA,2025-10-15,0.0,0.0
DOCORNE,Douglas County Correction,NE,2025-10-01,0.0,0.0
