detention_facility_code,detention_facility_name,state,date,daily_pop,midnight_pop
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-01,153,138
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-02,150,146
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-03,152,136
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-04,136,135
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-05,135,135
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-06,138,120
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-07,121,116
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-08,161,158
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-09,168,162
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-10,167,161
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-11,161,158
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-12,158,158
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-13,159,159
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-14,175,169
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-15,184,174
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-16,178,170
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-17,173,155
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-18,160,158
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-19,158,155
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-20,166,156
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-21,168,156
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-22,161,153
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-23,166,162
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-24,167,153
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-25,156,155
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-26,161,158
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-27,166,159
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-28,184,174
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-29,188,174
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-30,188,159
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-10-31,183,176
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-01,176,176
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-02,177,177
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-03,186,181
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-04,192,188
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-05,204,185
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-06,200,184
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-07,192,167
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-08,167,166
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-09,166,166
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-10,173,173
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-11,174,174
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-12,186,172
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-13,187,171
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-14,175,153
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-15,154,151
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-16,151,151
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-17,162,159
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-18,173,154
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-19,168,162
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-20,177,147
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-21,163,151
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-22,156,153
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-23,156,152
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-24,171,160
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-25,172,165
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-26,178,171
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-27,171,171
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-28,175,173
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-29,173,173
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-11-30,174,174
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-12-01,174,168
ATLANGA,Atlanta Pretrial Detn Ctr,GA,2008-12-02,177,171
