detention_facility_code,detention_facility_name,state,date,daily_pop,midnight_pop
DOCORNE,Douglas County Correction,NE,2008-10-01,134.0,119.0
DOCORNE,Douglas County Correction,NE,2008-10-02,121.0,117.0
DOCORNE,Douglas County Correction,NE,2008-10-03,121.0,117.0
DOCORNE,Douglas County Correction,NE,2008-10-04,117.0,117.0
DOCORNE,Douglas County Correction,NE,2008-10-05,117.0,117.0
DOCORNE,Douglas County Correction,NE,2008-10-06,123.0,120.0
DOCORNE,Douglas County Correction,NE,2008-10-07,136.0,127.0
DOCORNE,Douglas County Correction,NE,2008-10-08,135.0,134.0
DOCORNE,Douglas County Correction,NE,2008-10-09,141.0,140.0
DOCORNE,Douglas County Correction,NE,2008-10-10,142.0,139.0
DOCORNE,Douglas County Correction,NE,2008-10-11,141.0,141.0
DOCORNE,Douglas County Correction,NE,2008-10-12,142.0,141.0
DOCORNE,Douglas County Correction,NE,2008-10-13,141.0,141.0
DOCORNE,Douglas County Correction,NE,2008-10-14,147.0,146.0
DOCORNE,Douglas County Correction,NE,2008-10-15,151.0,151.0
DOCORNE,Douglas County Correction,NE,2008-10-16,151.0,128.0
DOCORNE,Douglas County Correction,NE,2008-10-17,128.0,127.0
DOCORNE,Douglas County Correction,NE,2008-10-18,127.0,127.0
DOCORNE,Douglas County Correction,NE,2008-10-19,127.0,127.0
DOCORNE,Douglas County Correction,NE,2008-10-20,132.0,131.0
DOCORNE,Douglas County Correction,NE,2008-10-21,136.0,128.0
DOCORNE,Douglas County Correction,NE,2008-10-22,129.0,114.0
DOCORNE,Douglas County Correction,NE,2008-10-23,115.0,114.0
DOCORNE,Douglas County Correction,NE,2008-10-24,119.0,119.0
DOCORNE,Douglas County Correction,NE,2008-10-25,119.0,119.0
DOCORNE,Douglas County Correction,NE,2008-10-26,119.0,119.0
DOCORNE,Douglas County Correction,NE,2008-10-27,122.0,121.0
DOCORNE,Douglas County Correction,NE,2008-10-28,125.0,125.0
DOCORNE,Douglas County Correction,NE,2008-10-29,135.0,122.0
DOCORNE,Douglas County Correction,NE,2008-10-30,141.0,141.0
DOCORNE,Douglas County Correction,NE,2008-10-31,142.0,138.0
DOCORNE,Douglas County Correction,NE,2008-11-01,138.0,138.0
DOCORNE,Douglas County Correction,NE,2008-11-02,138.0,138.0
DOCORNE,Douglas County Correction,NE,2008-11-03,140.0,140.0
DOCORNE,Douglas County Correction,NE,2008-11-04,147.0,145.0
DOCORNE,Douglas County Correction,NE,2008-11-05,161.0,144.0
DOCORNE,Douglas County Correction,NE,2008-11-06,151.0,147.0
DOCORNE,Douglas County Correction,NE,2008-11-07,155.0,150.0
DOCORNE,Douglas County Correction,NE,2008-11-08,150.0,150.0
DOCORNE,Douglas County Correction,NE,2008-11-09,150.0,150.0
DOCORNE,Douglas County Correction,NE,2008-11-10,159.0,155.0
DOCORNE,Douglas County Correction,NE,2008-11-11,155.0,155.0
DOCORNE,Douglas County Correction,NE,2008-11-12,167.0,154.0
DOCORNE,Douglas County Correction,NE,2008-11-13,156.0,152.0
DOCORNE,Douglas County Correction,NE,2008-11-14,155.0,155.0
DOCORNE,Douglas County Correction,NE,2008-11-15,155.0,155.0
DOCORNE,Douglas County Correction,NE,2008-11-16,155.0,155.0
DOCORNE,Douglas County Correction,NE,2008-11-17,160.0,151.0
DOCORNE,Douglas County Correction,NE,2008-11-18,154.0,153.0
DOCORNE,Douglas County Correction,NE,2008-11-19,157.0,137.0
DOCORNE,Douglas County Correction,NE,2008-11-20,143.0,137.0
DOCORNE,Douglas County Correction,NE,2008-11-21,138.0,135.0
DOCORNE,Douglas County Correction,NE,2008-11-22,135.0,135.0
DOCORNE,Douglas County Correction,NE,2008-11-23,135.0,135.0
DOCORNE,Douglas County Correction,NE,2008-11-24,141.0,141.0
DOCORNE,Douglas County Correction,NE,2008-11-25,146.0,143.0
DOCORNE,Douglas County Correction,NE,2008-11-26,153.0,145.0
DOCORNE,Douglas County Correction,NE,2008-11-27,145.0,145.0
DOCORNE,Douglas County Correction,NE,2008-11-28,146.0,145.0
DOCORNE,Douglas County Correction,NE,2008-11-29,145.0,145.0
DOCORNE,Douglas County Correction,NE,2008-11-30,145.0,145.0
DOCORNE,Douglas County Correction,NE,2008-12-01,154.0,154.0
DOCORNE,Douglas County Correction,NE,2008-12-02,165.0,163.0
DOCORNE,Douglas County Correction,NE,2008-12-03,167.0,154.0
DOCORNE,Douglas County Correction,NE,2008-12-04,159.0,157.0
DOCORNE,Douglas County Correction,NE,2008-12-05,159.0,158.0
DOCORNE,Douglas County Correction,NE,2008-12-06,158.0,158.0
DOCORNE,Douglas County Correction,NE,2008-12-07,158.0,158.0
DOCORNE,Douglas County Correction,NE,2008-12-08,160.0,157.0
DOCORNE,Douglas County Correction,NE,2008-12-09,159.0,159.0
DOCORNE,Douglas County Correction,NE,2008-12-10,165.0,156.0
DOCORNE,Douglas County Correction,NE,2008-12-11,161.0,157.0
DOCORNE,Douglas County Correction,NE,2008-12-12,162.0,159.0
DOCORNE,Douglas County Correction,NE,2008-12-13,159.0,159.0
DOCORNE,Douglas County Correction,NE,2008-12-14,159.0,159.0
DOCORNE,Douglas County Correction,NE,2008-12-15,160.0,157.0
DOCORNE,Douglas County Correction,NE,2008-12-16,160.0,159.0
DOCORNE,Douglas County Correction,NE,2008-12-17,167.0,148.0
DOCORNE,Douglas County Correction,NE,2008-12-18,153.0,151.0
DOCORNE,Douglas County Correction,NE,2008-12-19,157.0,155.0
DOCORNE,Douglas County Correction,NE,2008-12-20,155.0,155.0
DOCORNE,Douglas County Correction,NE,2008-12-21,155.0,155.0
DOCORNE,Douglas County Correction,NE,2008-12-22,159.0,156.0
