detention_facility_code,detention_facility_name,state,date,daily_pop,midnight_pop
BEDFOOH,Bedford Heights City,OH,2008-10-01,26,26
BEDFOOH,Bedford Heights City,OH,2008-10-02,32,24
BEDFOOH,Bedford Heights City,OH,2008-10-03,24,24
BEDFOOH,Bedford Heights City,OH,2008-10-04,24,24
BEDFOOH,Bedford Heights City,OH,2008-10-05,24,24
BEDFOOH,Bedford Heights City,OH,2008-10-06,31,31
BEDFOOH,Bedford Heights City,OH,2008-10-07,36,31
BEDFOOH,Bedford Heights City,OH,2008-10-08,31,27
BEDFOOH,Bedford Heights City,OH,2008-10-09,34,28
BEDFOOH,Bedford Heights City,OH,2008-10-10,29,28
BEDFOOH,Bedford Heights City,OH,2008-10-11,28,28
BEDFOOH,Bedford Heights City,OH,2008-10-12,28,27
BEDFOOH,Bedford Heights City,OH,2008-10-13,27,27
BEDFOOH,Bedford Heights City,OH,2008-10-14,27,24
BEDFOOH,Bedford Heights City,OH,2008-10-15,30,30
BEDFOOH,Bedford Heights City,OH,2008-10-16,32,23
BEDFOOH,Bedford Heights City,OH,2008-10-17,23,22
BEDFOOH,Bedford Heights City,OH,2008-10-18,22,22
BEDFOOH,Bedford Heights City,OH,2008-10-19,22,22
BEDFOOH,Bedford Heights City,OH,2008-10-20,24,24
BEDFOOH,Bedford Heights City,OH,2008-10-21,27,22
BEDFOOH,Bedford Heights City,OH,2008-10-22,22,20
BEDFOOH,Bedford Heights City,OH,2008-10-23,21,21
BEDFOOH,Bedford Heights City,OH,2008-10-24,27,27
BEDFOOH,Bedford Heights City,OH,2008-10-25,27,27
BEDFOOH,Bedford Heights City,OH,2008-10-26,27,27
BEDFOOH,Bedford Heights City,OH,2008-10-27,27,27
BEDFOOH,Bedford Heights City,OH,2008-10-28,32,28
BEDFOOH,Bedford Heights City,OH,2008-10-29,28,27
BEDFOOH,Bedford Heights City,OH,2008-10-30,27,17
BEDFOOH,Bedford Heights City,OH,2008-10-31,21,21
BEDFOOH,Bedford Heights City,OH,2008-11-01,21,21
BEDFOOH,Bedford Heights City,OH,2008-11-02,21,21
BEDFOOH,Bedford Heights City,OH,2008-11-03,21,19
BEDFOOH,Bedford Heights City,OH,2008-11-04,25,22
BEDFOOH,Bedford Heights City,OH,2008-11-05,30,29
BEDFOOH,Bedford Heights City,OH,2008-11-06,29,29
BEDFOOH,Bedford Heights City,OH,2008-11-07,30,25
BEDFOOH,Bedford Heights City,OH,2008-11-08,25,25
BEDFOOH,Bedford Heights City,OH,2008-11-09,25,25
BEDFOOH,Bedford Heights City,OH,2008-11-10,25,21
BEDFOOH,Bedford Heights City,OH,2008-11-11,22,22
BEDFOOH,Bedford Heights City,OH,2008-11-12,22,22
BEDFOOH,Bedford Heights City,OH,2008-11-13,23,21
BEDFOOH,Bedford Heights City,OH,2008-11-14,21,17
BEDFOOH,Bedford Heights City,OH,2008-11-15,17,17
BEDFOOH,Bedford Heights City,OH,2008-11-16,17,17
BEDFOOH,Bedford Heights City,OH,2008-11-17,17,16
BEDFOOH,Bedford Heights City,OH,2008-11-18,23,21
BEDFOOH,Bedford Heights City,OH,2008-11-19,21,20
BEDFOOH,Bedford Heights City,OH,2008-11-20,20,20
BEDFOOH,Bedford Heights City,OH,2008-11-21,20,20
BEDFOOH,Bedford Heights City,OH,2008-11-22,20,20
BEDFOOH,Bedford Heights City,OH,2008-11-23,20,20
BEDFOOH,Bedford Heights City,OH,2008-11-24,20,18
BEDFOOH,Bedford Heights City,OH,2008-11-25,24,23
BEDFOOH,Bedford Heights City,OH,2008-11-26,25,25
BEDFOOH,Bedford Heights City,OH,2008-11-27,25,25
BEDFOOH,Bedford Heights City,OH,2008-11-28,25,17
BEDFOOH,Bedford Heights City,OH,2008-11-29,17,17
BEDFOOH,Bedford Heights City,OH,2008-11-30,17,17
BEDFOOH,Bedford Heights City,OH,2008-12-01,18,18
BEDFOOH,Bedford Heights City,OH,2008-12-02,18,16
BEDFOOH,Bedford Heights City,OH,2008-12-03,26,25
BEDFOOH,Bedford Heights City,OH,2008-12-04,27,26
BEDFOOH,Bedford Heights City,OH,2008-12-05,26,25
BEDFOOH,Bedford Heights City,OH,2008-12-06,25,25
BEDFOOH,Bedford Heights City,OH,2008-12-07,25,25
BEDFOOH,Bedford Heights City,OH,2008-12-08,30,28
BEDFOOH,Bedford Heights City,OH,2008-12-09,29,26
BEDFOOH,Bedford Heights City,OH,2008-12-10,26,25
BEDFOOH,Bedford Heights City,OH,2008-12-11,26,16
BEDFOOH,Bedford Heights City,OH,2008-12-12,22,21
BEDFOOH,Bedford Heights City,OH,2008-12-13,21,21
BEDFOOH,Bedford Heights City,OH,2008-12-14,21,21
BEDFOOH,Bedford Heights City,OH,2008-12-15,21,21
BEDFOOH,Bedford Heights City,OH,2008-12-16,21,16
BEDFOOH,Bedford Heights City,OH,2008-12-17,25,25
BEDFOOH,Bedford Heights City,OH,2008-12-18,26,6
BEDFOOH,Bedford Heights City,OH,2008-12-19,6,6
BEDFOOH,Bedford Heights City,OH,2008-12-20,6,6
BEDFOOH,Bedford Heights City,OH,2008-12-21,6,6
BEDFOOH,Bedford Heights City,OH,2008-12-22,7,6
BEDFOOH,Bedford Heights City,OH,2008-12-23,13,13
BEDFOOH,Bedford Heights City,OH,2008-12-24,16,16
BEDFOOH,Bedford Heights City,OH,2008-12-25,16,16
BEDFOOH,Bedford Heights City,OH,2008-12-26,16,16
BEDFOOH,Bedford Heights City,OH,2008-12-27,16,16
BEDFOOH,Bedford Heights City,OH,2008-12-28,16,16
BEDFOOH,Bedford Heights City,OH,2008-12-29,16,16
BEDFOOH,Bedford Heights City,OH,2008-12-30,16,15
BEDFOOH,Bedford Heights City,OH,2008-12-31,31,31
BEDFOOH,Bedford Heights City,OH,2009-01-01,31,31
BEDFOOH,Bedford Heights City,OH,2009-01-02,39,31
BEDFOOH,Bedford Heights City,OH,2009-01-03,31,31
BEDFOOH,Bedford Heights City,OH,2009-01-04,31,31
BEDFOOH,Bedford Heights City,OH,2009-01-05,38,38
BEDFOOH,Bedford Heights City,OH,2009-01-06,40,26
BEDFOOH,Bedford Heights City,OH,2009-01-07,32,32
BEDFOOH,Bedford Heights City,OH,2009-01-08,33,23
BEDFOOH,Bedford Heights City,OH,2009-01-09,31,30
BEDFOOH,Bedford Heights City,OH,2009-01-10,30,30
BEDFOOH,Bedford Heights City,OH,2009-01-11,30,30
BEDFOOH,Bedford Heights City,OH,2009-01-12,36,24
BEDFOOH,Bedford Heights City,OH,2009-01-13,27,25
BEDFOOH,Bedford Heights City,OH,2009-01-14,29,29
BEDFOOH,Bedford Heights City,OH,2009-01-15,34,24
BEDFOOH,Bedford Heights City,OH,2009-01-16,24,21
BEDFOOH,Bedford Heights City,OH,2009-01-17,21,21
BEDFOOH,Bedford Heights City,OH,2009-01-18,23,23
BEDFOOH,Bedford Heights City,OH,2009-01-19,23,23
BEDFOOH,Bedford Heights City,OH,2009-01-20,23,19
BEDFOOH,Bedford Heights City,OH,2009-01-21,23,23
BEDFOOH,Bedford Heights City,OH,2009-01-22,23,13
BEDFOOH,Bedford Heights City,OH,2009-01-23,19,18
BEDFOOH,Bedford Heights City,OH,2009-01-24,18,18
BEDFOOH,Bedford Heights City,OH,2009-01-25,18,18
BEDFOOH,Bedford Heights City,OH,2009-01-26,19,19
BEDFOOH,Bedford Heights City,OH,2009-01-27,22,19
BEDFOOH,Bedford Heights City,OH,2009-01-28,19,18
BEDFOOH,Bedford Heights City,OH,2009-01-29,21,11
BEDFOOH,Bedford Heights City,OH,2009-01-30,16,16
BEDFOOH,Bedford Heights City,OH,2009-01-31,16,16
BEDFOOH,Bedford Heights City,OH,2009-02-01,16,16
BEDFOOH,Bedford Heights City,OH,2009-02-02,20,19
