date,daily_pop,midnight_pop,book_in,book_out
2008-10-01,33876,32589,1306,1287
2008-10-02,33961,32475,1372,1486
2008-10-03,33762,32036,1287,1726
2008-10-04,32440,32024,404,416
2008-10-05,32299,32241,275,58
2008-10-06,33683,32546,1442,1137
2008-10-07,33927,32519,1381,1408
2008-10-08,34193,32656,1674,1537
2008-10-09,33913,32189,1257,1724
2008-10-10,33731,32072,1542,1659
2008-10-11,32428,31956,356,472
2008-10-12,32233,32159,277,74
2008-10-13,32641,32527,482,114
2008-10-14,34131,32678,1604,1453
2008-10-15,34114,32587,1436,1527
2008-10-16,33992,32419,1405,1573
2008-10-17,33830,32421,1411,1409
2008-10-18,32802,32465,381,337
2008-10-19,32812,32744,347,68
2008-10-20,34219,32993,1475,1226
2008-10-21,34348,33005,1355,1343
2008-10-22,34455,32954,1450,1501
2008-10-23,34239,32662,1285,1577
2008-10-24,33997,32413,1335,1584
2008-10-25,32825,32334,412,491
2008-10-26,32641,32588,307,53
2008-10-27,34083,32982,1495,1101
2008-10-28,34570,33111,1588,1459
2008-10-29,34634,33384,1523,1250
2008-10-30,34800,33143,1416,1657
2008-10-31,34372,32747,1229,1625
2008-11-01,33079,32721,332,358
2008-11-02,32975,32958,254,17
2008-11-03,34397,33262,1439,1135
2008-11-04,34587,33237,1325,1350
2008-11-05,34479,33221,1242,1258
2008-11-06,34476,32845,1255,1631
2008-11-07,34036,32298,1191,1738
2008-11-08,32588,32378,290,210
2008-11-09,32538,32510,160,28
2008-11-10,33917,32652,1407,1265
2008-11-11,33002,32861,350,141
2008-11-12,34365,33083,1504,1282
2008-11-13,34394,32748,1311,1646
2008-11-14,34171,32616,1423,1555
2008-11-15,32886,32624,270,262
2008-11-16,32898,32876,274,22
2008-11-17,34263,32939,1387,1324
2008-11-18,34322,32933,1383,1389
2008-11-19,34405,32833,1472,1572
2008-11-20,34216,32556,1383,1660
2008-11-21,33967,32190,1411,1777
2008-11-22,32564,32207,374,357
2008-11-23,32526,32444,319,82
2008-11-24,33941,32512,1497,1429
2008-11-25,33986,32511,1474,1475
2008-11-26,33836,32336,1325,1500
2008-11-27,32679,32575,343,104
2008-11-28,33387,32175,812,1212
2008-11-29,32446,32236,271,210
2008-11-30,32447,32416,211,31
2008-12-01,33833,32610,1417,1223
2008-12-02,34071,32841,1461,1230
2008-12-03,34252,32905,1411,1347
2008-12-04,34203,32619,1298,1584
2008-12-05,34027,32385,1408,1642
2008-12-06,32684,32442,299,242
2008-12-07,32657,32601,215,56
2008-12-08,34044,32742,1443,1302
2008-12-09,34107,32588,1365,1519
2008-12-10,34014,32740,1426,1274
2008-12-11,33915,32370,1175,1545
2008-12-12,33757,32245,1387,1512
2008-12-13,32536,32151,291,385
2008-12-14,32396,32339,245,57
2008-12-15,33738,32374,1399,1364
2008-12-16,33899,32476,1525,1423
2008-12-17,33943,32556,1467,1387
2008-12-18,33912,32556,1356,1356
2008-12-19,33813,32309,1257,1504
2008-12-20,32668,31915,359,753
2008-12-21,32072,32023,157,49
2008-12-22,33380,31756,1357,1624
2008-12-23,33156,31962,1400,1194
2008-12-24,33097,31933,1135,1164
2008-12-25,32122,32085,189,37
2008-12-26,32344,32224,259,120
2008-12-27,32417,32357,193,60
2008-12-28,32527,32470,170,57
2008-12-29,33905,32684,1435,1221
2008-12-30,33846,32558,1162,1288
